mp_id,material,spacegroup,sg_symbol,crystal_system,nsites,volume,density
3926,NbAg7S6,7,Pc,Monoclinic,28,560.2054,6167.67
3928,Na5P3O10,15,C2/c,Monoclinic,72,940.0152,2599.33
3930,Sc2MnS4,227,Fd-3m,Cubic,56,1051.482,3450.44
3932,Ca3Si2O7,14,P2_1/c,Monoclinic,48,636.7792,3008.27
3933,Mg2PN3,36,Cmc2_1,Orthorhombic,24,259.8041,3108.93
3934,Cu3PS4,31,Pmn2_1,Orthorhombic,16,266.4433,4360.97
3941,LiYF4,13,P2/c,Monoclinic,12,139.2329,4098.86
3943,BaTi2O5,12,C2/m,Monoclinic,48,606.0127,5146.88
3949,K7LiSi8,205,Pa-3,Cubic,64,1915.2695,1752.43
3952,BaY2O4,62,Pnma,Orthorhombic,28,428.763,5873.37
3953,CaCO3,167,R-3c,Trigonal,30,363.9216,2740.12
3954,PrPS4,142,I4_1/acd,Tetragonal,96,2263.9515,3522.31
3955,AlPO4,154,P3_221,Trigonal,18,237.5656,2557.28
3956,Sr3UO6,14,P2_1/c,Monoclinic,20,318.4263,6225.32
3960,CaUO4,166,R-3m,Trigonal,18,224.851,7579.39
3962,LaPO4,14,P2_1/c,Monoclinic,24,303.0862,5125.43
3963,K2CO3,14,P2_1/c,Monoclinic,24,386.9101,2372.6
3967,NaNO,14,P2_1/c,Monoclinic,24,281.899,2497.4
3970,K2TiF6,164,P-3m1,Trigonal,9,132.7563,3002.64
3975,K2TaF7,14,P2_1/c,Monoclinic,40,641.5157,4060.09
3977,CsB3O5,4,P2_1,Monoclinic,36,489.6733,3327.85
3978,SrSiO3,15,C2/c,Monoclinic,60,889.4644,3667.42
3980,LiSbF6,148,R-3,Trigonal,24,312.4459,3869.46
3982,KCuO2,63,Cmcm,Orthorhombic,16,280.0153,3193.83
3996,GaAsO4,152,P3_121,Trigonal,18,248.5346,4182.02
3998,LaTaO4,36,Cmc2_1,Orthorhombic,24,324.1534,7865.41
4002,Li2ZrF6,162,P-31m,Trigonal,9,98.6468,3688.09
4004,Ag5SbS4,36,Cmc2_1,Orthorhombic,40,782.6841,6698.82
4006,ErPO4,141,I4_1/amd,Tetragonal,24,277.4489,6277.83
4019,CaTiO3,62,Pnma,Orthorhombic,20,220.9282,4087.1
4024,DyAgTe2,113,P-42_1m,Tetragonal,8,223.3581,7814.6
4026,KCrS2,166,R-3m,Trigonal,12,220.2246,3511.27
4030,Rb2Pt3S4,69,Fmmm,Orthorhombic,36,886.6245,6625.85
4035,RbReO4,88,I4_1/a,Tetragonal,24,455.7976,4891.62
4043,NbCu3Se4,215,P-43m,Cubic,8,173.7075,5729.76
4044,ErAgSe2,19,P2_12_12_1,Orthorhombic,16,371.0622,7751.72
4047,Cs2SiF6,225,Fm-3m,Cubic,36,687.5804,3940.27
4051,AlPO4,20,C222_1,Orthorhombic,24,367.4566,2204.43
4052,Rb2Mn3Se4,72,Ibam,Orthorhombic,36,791.1574,5470.42
4056,CaSc2O4,62,Pnma,Orthorhombic,28,324.3987,3971.95
4066,KGaO2,61,Pbca,Orthorhombic,64,974.5093,3839.26
4068,Na2GeS3,14,P2_1/c,Monoclinic,24,550.7359,2590.77
4078,La2SO6,15,C2/c,Monoclinic,36,483.5591,5575.06
4081,TaCu3Se4,215,P-43m,Cubic,8,173.9992,6560.37
4086,La2Sn2O7,227,Fd-3m,Cubic,88,1224.6491,6803.81
4092,SrSeO4,14,P2_1/c,Monoclinic,24,348.2988,4397.18
4103,Sr2Sb2O7,74,Imma,Orthorhombic,44,601.6687,5859.31
4104,HoPO4,141,I4_1/amd,Tetragonal,24,280.4829,6154.77
4117,Li2Si2O5,37,Ccc2,Orthorhombic,36,409.0985,2436.23
4122,GaPO4,152,P3_121,Trigonal,18,233.1395,3519.12
4123,ErTlS2,166,R-3m,Trigonal,12,293.6102,7393.65
4124,CaCN2,166,R-3m,Trigonal,12,170.9068,2334.83
4135,RbPO3,14,P2_1/c,Monoclinic,20,334.597,3264.33
4138,Rb2CO3,14,P2_1/c,Monoclinic,24,440.813,3479.87
4155,Ca2Nb2O7,227,Fd-3m,Cubic,88,1146.4979,4379.43
4156,Li2ZrO3,15,C2/c,Monoclinic,24,239.2407,4250.71
4157,Sr(NO3)2,205,Pa-3,Cubic,36,464.8044,3024.24
4160,Tl3PSe4,62,Pnma,Orthorhombic,32,895.0415,7123.95
4163,Ca3Ti2O7,36,Cmc2_1,Orthorhombic,48,565.6773,3850.94
4165,TaNO,14,P2_1/c,Monoclinic,12,127.1713,11018.13
4170,NaTaO3,221,Pm-3m,Cubic,5,61.6028,6791.08
4172,Na5GeP3,14,P2_1/c,Monoclinic,36,762.2273,2444.41
4175,ZnSnP2,122,I-42d,Tetragonal,16,355.8584,4592.33
4180,Ca2SiO4,14,P2_1/c,Monoclinic,28,339.7879,3366.92
